ExcelFilePath,DICOMFilePath,PatientName,DICOMFileDate,ColumnName,FrameNumber,Value_dB
C:\Users\Hanna\git\DicomAnalyzer\SampleFiles\DICOM 20251125\CEUS\high_00.xls,I:\BUL Fam\Hanna\DICOM 20251125\IM_0012,CONCENTRATION SCURVE 20251124,11/24/2025,ROI 1 Echo Mean(dB),1,36.90
C:\Users\Hanna\git\DicomAnalyzer\SampleFiles\DICOM 20251125\CEUS\high_00.xls,I:\BUL Fam\Hanna\DICOM 20251125\IM_0012,CONCENTRATION SCURVE 20251124,11/24/2025,ROI 1 Echo Mean(dB),2,36.79
C:\Users\Hanna\git\DicomAnalyzer\SampleFiles\DICOM 20251125\CEUS\high_00.xls,I:\BUL Fam\Hanna\DICOM 20251125\IM_0012,CONCENTRATION SCURVE 20251124,11/24/2025,ROI 1 Echo Mean(dB),3,36.70
C:\Users\Hanna\git\DicomAnalyzer\SampleFiles\DICOM 20251125\CEUS\high_00.xls,I:\BUL Fam\Hanna\DICOM 20251125\IM_0012,CONCENTRATION SCURVE 20251124,11/24/2025,ROI 1 Echo Mean(dB),4,36.71
C:\Users\Hanna\git\DicomAnalyzer\SampleFiles\DICOM 20251125\CEUS\high_00.xls,I:\BUL Fam\Hanna\DICOM 20251125\IM_0012,CONCENTRATION SCURVE 20251124,11/24/2025,ROI 1 Echo Mean(dB),5,36.76
C:\Users\Hanna\git\DicomAnalyzer\SampleFiles\DICOM 20251125\CEUS\high_04.xls,I:\BUL Fam\Hanna\DICOM 20251125\IM_0023,CONCENTRATION SCURVE 20251124,11/24/2025,ROI 1 Echo Mean(dB),1,35.93
C:\Users\Hanna\git\DicomAnalyzer\SampleFiles\DICOM 20251125\CEUS\high_04.xls,I:\BUL Fam\Hanna\DICOM 20251125\IM_0023,CONCENTRATION SCURVE 20251124,11/24/2025,ROI 1 Echo Mean(dB),2,35.85
C:\Users\Hanna\git\DicomAnalyzer\SampleFiles\DICOM 20251125\CEUS\high_04.xls,I:\BUL Fam\Hanna\DICOM 20251125\IM_0023,CONCENTRATION SCURVE 20251124,11/24/2025,ROI 1 Echo Mean(dB),3,35.70
C:\Users\Hanna\git\DicomAnalyzer\SampleFiles\DICOM 20251125\CEUS\high_04.xls,I:\BUL Fam\Hanna\DICOM 20251125\IM_0023,CONCENTRATION SCURVE 20251124,11/24/2025,ROI 1 Echo Mean(dB),4,35.59
C:\Users\Hanna\git\DicomAnalyzer\SampleFiles\DICOM 20251125\CEUS\high_04.xls,I:\BUL Fam\Hanna\DICOM 20251125\IM_0023,CONCENTRATION SCURVE 20251124,11/24/2025,ROI 1 Echo Mean(dB),5,35.52
C:\Users\Hanna\git\DicomAnalyzer\SampleFiles\DICOM 20251125\CEUS\high_08.xls,I:\BUL Fam\Hanna\DICOM 20251125\IM_0032,CONCENTRATION SCURVE 20251124,11/24/2025,ROI 1 Echo Mean(dB),1,35.35
C:\Users\Hanna\git\DicomAnalyzer\SampleFiles\DICOM 20251125\CEUS\high_08.xls,I:\BUL Fam\Hanna\DICOM 20251125\IM_0032,CONCENTRATION SCURVE 20251124,11/24/2025,ROI 1 Echo Mean(dB),2,35.24
C:\Users\Hanna\git\DicomAnalyzer\SampleFiles\DICOM 20251125\CEUS\high_08.xls,I:\BUL Fam\Hanna\DICOM 20251125\IM_0032,CONCENTRATION SCURVE 20251124,11/24/2025,ROI 1 Echo Mean(dB),3,35.09
C:\Users\Hanna\git\DicomAnalyzer\SampleFiles\DICOM 20251125\CEUS\high_08.xls,I:\BUL Fam\Hanna\DICOM 20251125\IM_0032,CONCENTRATION SCURVE 20251124,11/24/2025,ROI 1 Echo Mean(dB),4,35.16
C:\Users\Hanna\git\DicomAnalyzer\SampleFiles\DICOM 20251125\CEUS\high_08.xls,I:\BUL Fam\Hanna\DICOM 20251125\IM_0032,CONCENTRATION SCURVE 20251124,11/24/2025,ROI 1 Echo Mean(dB),5,34.99
C:\Users\Hanna\git\DicomAnalyzer\SampleFiles\DICOM 20251125\CEUS\high_12.xls,I:\BUL Fam\Hanna\DICOM 20251125\IM_0043,CONCENTRATION SCURVE 20251124,11/24/2025,ROI 1 Echo Mean(dB),1,34.96
C:\Users\Hanna\git\DicomAnalyzer\SampleFiles\DICOM 20251125\CEUS\high_12.xls,I:\BUL Fam\Hanna\DICOM 20251125\IM_0043,CONCENTRATION SCURVE 20251124,11/24/2025,ROI 1 Echo Mean(dB),2,34.86
C:\Users\Hanna\git\DicomAnalyzer\SampleFiles\DICOM 20251125\CEUS\high_12.xls,I:\BUL Fam\Hanna\DICOM 20251125\IM_0043,CONCENTRATION SCURVE 20251124,11/24/2025,ROI 1 Echo Mean(dB),3,34.86
C:\Users\Hanna\git\DicomAnalyzer\SampleFiles\DICOM 20251125\CEUS\high_12.xls,I:\BUL Fam\Hanna\DICOM 20251125\IM_0043,CONCENTRATION SCURVE 20251124,11/24/2025,ROI 1 Echo Mean(dB),4,34.87
C:\Users\Hanna\git\DicomAnalyzer\SampleFiles\DICOM 20251125\CEUS\high_12.xls,I:\BUL Fam\Hanna\DICOM 20251125\IM_0043,CONCENTRATION SCURVE 20251124,11/24/2025,ROI 1 Echo Mean(dB),5,34.92
C:\Users\Hanna\git\DicomAnalyzer\SampleFiles\DICOM 20251125\CEUS\high_16.xls,I:\BUL Fam\Hanna\DICOM 20251125\IM_0054,CONCENTRATION SCURVE 20251124,11/24/2025,ROI 1 Echo Mean(dB),1,34.51
C:\Users\Hanna\git\DicomAnalyzer\SampleFiles\DICOM 20251125\CEUS\high_16.xls,I:\BUL Fam\Hanna\DICOM 20251125\IM_0054,CONCENTRATION SCURVE 20251124,11/24/2025,ROI 1 Echo Mean(dB),2,34.43
C:\Users\Hanna\git\DicomAnalyzer\SampleFiles\DICOM 20251125\CEUS\high_16.xls,I:\BUL Fam\Hanna\DICOM 20251125\IM_0054,CONCENTRATION SCURVE 20251124,11/24/2025,ROI 1 Echo Mean(dB),3,34.35
C:\Users\Hanna\git\DicomAnalyzer\SampleFiles\DICOM 20251125\CEUS\high_16.xls,I:\BUL Fam\Hanna\DICOM 20251125\IM_0054,CONCENTRATION SCURVE 20251124,11/24/2025,ROI 1 Echo Mean(dB),4,34.41
C:\Users\Hanna\git\DicomAnalyzer\SampleFiles\DICOM 20251125\CEUS\high_16.xls,I:\BUL Fam\Hanna\DICOM 20251125\IM_0054,CONCENTRATION SCURVE 20251124,11/24/2025,ROI 1 Echo Mean(dB),5,34.39
C:\Users\Hanna\git\DicomAnalyzer\SampleFiles\DICOM 20251125\CEUS\low_00.xls,I:\BUL Fam\Hanna\DICOM 20251125\IM_0119,CONCENTRATION SCURVE 20251124,11/24/2025,ROI 1 Echo Mean(dB),1,24.94
C:\Users\Hanna\git\DicomAnalyzer\SampleFiles\DICOM 20251125\CEUS\low_00.xls,I:\BUL Fam\Hanna\DICOM 20251125\IM_0119,CONCENTRATION SCURVE 20251124,11/24/2025,ROI 1 Echo Mean(dB),2,24.48
C:\Users\Hanna\git\DicomAnalyzer\SampleFiles\DICOM 20251125\CEUS\low_00.xls,I:\BUL Fam\Hanna\DICOM 20251125\IM_0119,CONCENTRATION SCURVE 20251124,11/24/2025,ROI 1 Echo Mean(dB),3,23.83
C:\Users\Hanna\git\DicomAnalyzer\SampleFiles\DICOM 20251125\CEUS\low_00.xls,I:\BUL Fam\Hanna\DICOM 20251125\IM_0119,CONCENTRATION SCURVE 20251124,11/24/2025,ROI 1 Echo Mean(dB),4,23.57
C:\Users\Hanna\git\DicomAnalyzer\SampleFiles\DICOM 20251125\CEUS\low_00.xls,I:\BUL Fam\Hanna\DICOM 20251125\IM_0119,CONCENTRATION SCURVE 20251124,11/24/2025,ROI 1 Echo Mean(dB),5,23.29
C:\Users\Hanna\git\DicomAnalyzer\SampleFiles\DICOM 20251125\CEUS\low_04.xls,I:\BUL Fam\Hanna\DICOM 20251125\IM_0130,CONCENTRATION SCURVE 20251124,11/24/2025,ROI 1 Echo Mean(dB),1,23.82
C:\Users\Hanna\git\DicomAnalyzer\SampleFiles\DICOM 20251125\CEUS\low_04.xls,I:\BUL Fam\Hanna\DICOM 20251125\IM_0130,CONCENTRATION SCURVE 20251124,11/24/2025,ROI 1 Echo Mean(dB),2,23.63
C:\Users\Hanna\git\DicomAnalyzer\SampleFiles\DICOM 20251125\CEUS\low_04.xls,I:\BUL Fam\Hanna\DICOM 20251125\IM_0130,CONCENTRATION SCURVE 20251124,11/24/2025,ROI 1 Echo Mean(dB),3,23.09
C:\Users\Hanna\git\DicomAnalyzer\SampleFiles\DICOM 20251125\CEUS\low_04.xls,I:\BUL Fam\Hanna\DICOM 20251125\IM_0130,CONCENTRATION SCURVE 20251124,11/24/2025,ROI 1 Echo Mean(dB),4,22.96
C:\Users\Hanna\git\DicomAnalyzer\SampleFiles\DICOM 20251125\CEUS\low_04.xls,I:\BUL Fam\Hanna\DICOM 20251125\IM_0130,CONCENTRATION SCURVE 20251124,11/24/2025,ROI 1 Echo Mean(dB),5,22.44
C:\Users\Hanna\git\DicomAnalyzer\SampleFiles\DICOM 20251125\CEUS\low_04.xls,I:\BUL Fam\Hanna\DICOM 20251125\IM_0130,CONCENTRATION SCURVE 20251124,11/24/2025,ROI 1 Echo Mean(dB),6,22.30
C:\Users\Hanna\git\DicomAnalyzer\SampleFiles\DICOM 20251125\CEUS\low_08.xls,I:\BUL Fam\Hanna\DICOM 20251125\IM_0141,CONCENTRATION SCURVE 20251124,11/24/2025,ROI 1 Echo Mean(dB),1,23.90
C:\Users\Hanna\git\DicomAnalyzer\SampleFiles\DICOM 20251125\CEUS\low_08.xls,I:\BUL Fam\Hanna\DICOM 20251125\IM_0141,CONCENTRATION SCURVE 20251124,11/24/2025,ROI 1 Echo Mean(dB),2,22.96
C:\Users\Hanna\git\DicomAnalyzer\SampleFiles\DICOM 20251125\CEUS\low_08.xls,I:\BUL Fam\Hanna\DICOM 20251125\IM_0141,CONCENTRATION SCURVE 20251124,11/24/2025,ROI 1 Echo Mean(dB),3,22.58
C:\Users\Hanna\git\DicomAnalyzer\SampleFiles\DICOM 20251125\CEUS\low_08.xls,I:\BUL Fam\Hanna\DICOM 20251125\IM_0141,CONCENTRATION SCURVE 20251124,11/24/2025,ROI 1 Echo Mean(dB),4,22.09
C:\Users\Hanna\git\DicomAnalyzer\SampleFiles\DICOM 20251125\CEUS\low_08.xls,I:\BUL Fam\Hanna\DICOM 20251125\IM_0141,CONCENTRATION SCURVE 20251124,11/24/2025,ROI 1 Echo Mean(dB),5,22.26
C:\Users\Hanna\git\DicomAnalyzer\SampleFiles\DICOM 20251125\CEUS\low_12.xls,I:\BUL Fam\Hanna\DICOM 20251125\IM_0152,CONCENTRATION SCURVE 20251124,11/24/2025,ROI 1 Echo Mean(dB),1,25.15
C:\Users\Hanna\git\DicomAnalyzer\SampleFiles\DICOM 20251125\CEUS\low_12.xls,I:\BUL Fam\Hanna\DICOM 20251125\IM_0152,CONCENTRATION SCURVE 20251124,11/24/2025,ROI 1 Echo Mean(dB),2,24.55
C:\Users\Hanna\git\DicomAnalyzer\SampleFiles\DICOM 20251125\CEUS\low_12.xls,I:\BUL Fam\Hanna\DICOM 20251125\IM_0152,CONCENTRATION SCURVE 20251124,11/24/2025,ROI 1 Echo Mean(dB),3,24.44
C:\Users\Hanna\git\DicomAnalyzer\SampleFiles\DICOM 20251125\CEUS\low_12.xls,I:\BUL Fam\Hanna\DICOM 20251125\IM_0152,CONCENTRATION SCURVE 20251124,11/24/2025,ROI 1 Echo Mean(dB),4,24.01
C:\Users\Hanna\git\DicomAnalyzer\SampleFiles\DICOM 20251125\CEUS\low_12.xls,I:\BUL Fam\Hanna\DICOM 20251125\IM_0152,CONCENTRATION SCURVE 20251124,11/24/2025,ROI 1 Echo Mean(dB),5,24.17
C:\Users\Hanna\git\DicomAnalyzer\SampleFiles\DICOM 20251125\CEUS\low_16.xls,I:\BUL Fam\Hanna\DICOM 20251125\IM_0164,CONCENTRATION SCURVE 20251124,11/24/2025,ROI 1 Echo Mean(dB),1,20.70
C:\Users\Hanna\git\DicomAnalyzer\SampleFiles\DICOM 20251125\CEUS\low_16.xls,I:\BUL Fam\Hanna\DICOM 20251125\IM_0164,CONCENTRATION SCURVE 20251124,11/24/2025,ROI 1 Echo Mean(dB),2,18.88
C:\Users\Hanna\git\DicomAnalyzer\SampleFiles\DICOM 20251125\CEUS\low_16.xls,I:\BUL Fam\Hanna\DICOM 20251125\IM_0164,CONCENTRATION SCURVE 20251124,11/24/2025,ROI 1 Echo Mean(dB),3,20.02
C:\Users\Hanna\git\DicomAnalyzer\SampleFiles\DICOM 20251125\CEUS\low_16.xls,I:\BUL Fam\Hanna\DICOM 20251125\IM_0164,CONCENTRATION SCURVE 20251124,11/24/2025,ROI 1 Echo Mean(dB),4,20.00
C:\Users\Hanna\git\DicomAnalyzer\SampleFiles\DICOM 20251125\CEUS\low_16.xls,I:\BUL Fam\Hanna\DICOM 20251125\IM_0164,CONCENTRATION SCURVE 20251124,11/24/2025,ROI 1 Echo Mean(dB),5,19.36
C:\Users\Hanna\git\DicomAnalyzer\SampleFiles\DICOM 20251125\CEUS\med_00.xls,I:\BUL Fam\Hanna\DICOM 20251125\IM_0065,CONCENTRATION SCURVE 20251124,11/24/2025,ROI 1 Echo Mean(dB),1,31.33
